Crime,858,"Godfather, The ",4.4875
Crime,318,"Shawshank Redemption, The ",4.4871382636656
Crime,1945,"On the Waterfront ",4.44827586206897
Crime,1221,"Godfather: Part II, The ",4.38518518518519
Crime,50,"Usual Suspects, The ",4.37064676616915
Crime,1252,"Chinatown ",4.33552631578947
Crime,6016,"City of God (Cidade de Deus) ",4.29710144927536
Crime,3683,"Blood Simple ",4.29166666666667
Crime,1260,"M ",4.26190476190476
Crime,2186,"Strangers on a Train ",4.26086956521739
Children,5971,"My Neighbor Totoro (Tonari no Totoro) ",4.23076923076923
Children,745,"Wallace & Gromit: A Close Shave ",4.19354838709677
Children,953,"It's a Wonderful Life ",4.15277777777778
Children,76093,"How to Train Your Dragon ",4.15151515151515
Children,1148,"Wallace & Gromit: The Wrong Trousers ",4.09333333333333
Children,1223,"Grand Day Out with Wallace and Gromit, A ",4.08974358974359
Children,78499,"Toy Story 3 ",4.07142857142857
Children,6350,"Laputa: Castle in the Sky (Tenk没 no shiro Rapyuta) ",4.06818181818182
Children,2804,"Christmas Story, A ",4.04666666666667
Children,134853,"Inside Out ",4.04166666666667
Comedy,969,"African Queen, The ",4.42
Comedy,905,"It Happened One Night ",4.38
Comedy,3462,"Modern Times ",4.359375
Comedy,898,"Philadelphia Story, The ",4.35135135135135
Comedy,2318,"Happiness ",4.32608695652174
Comedy,194,"Smoke ",4.29166666666667
Comedy,608,"Fargo ",4.25669642857143
Comedy,296,"Pulp Fiction ",4.25617283950617
Comedy,994,"Big Night ",4.25
Comedy,1060,"Swingers ",4.22619047619048
Drama,858,"Godfather, The ",4.4875
Drama,318,"Shawshank Redemption, The ",4.4871382636656
Drama,1945,"On the Waterfront ",4.44827586206897
Drama,926,"All About Eve ",4.43421052631579
Drama,1217,"Ran ",4.42307692307692
Drama,7502,"Band of Brothers ",4.38636363636364
Drama,1221,"Godfather: Part II, The ",4.38518518518519
Drama,3462,"Modern Times ",4.359375
Drama,898,"Philadelphia Story, The ",4.35135135135135
Drama,1228,"Raging Bull ",4.35
Horror,1219,"Psycho ",4.25324675324675
Horror,593,"Silence of the Lambs, The ",4.13815789473684
Horror,2232,"Cube ",4.11904761904762
Horror,968,"Night of the Living Dead ",4.11111111111111
Horror,1258,"Shining, The ",4.02970297029703
Horror,2762,"Sixth Sense, The ",4.01813471502591
Horror,1214,"Alien ",3.98818897637795
Horror,3476,"Jacob's Ladder ",3.9375
Horror,2366,"King Kong ",3.93478260869565
Horror,2288,"Thing, The ",3.92424242424242
Adventure,969,"African Queen, The ",4.42
Adventure,1254,"Treasure of the Sierra Madre, The ",4.3
Adventure,6016,"City of God (Cidade de Deus) ",4.29710144927536
Adventure,2019,"Seven Samurai (Shichinin no samurai) ",4.27777777777778
Adventure,908,"North by Northwest ",4.27011494252874
Adventure,1196,"Star Wars: Episode V - The Empire Strikes Back ",4.23290598290598
Adventure,1136,"Monty Python and the Holy Grail ",4.22413793103448
Adventure,260,"Star Wars: Episode IV - A New Hope ",4.22164948453608
Adventure,88125,"Harry Potter and the Deathly Hallows: Part 2 ",4.22058823529412
Adventure,1204,"Lawrence of Arabia ",4.2156862745098
War,1217,"Ran ",4.42307692307692
War,969,"African Queen, The ",4.42
War,7502,"Band of Brothers ",4.38636363636364
War,527,"Schindler's List ",4.30327868852459
War,1299,"Killing Fields, The ",4.27142857142857
War,1204,"Lawrence of Arabia ",4.2156862745098
War,750,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ",4.20952380952381
War,1224,"Henry V ",4.18181818181818
War,1233,"Boot, Das (Boat, The) ",4.16666666666667
War,1250,"Bridge on the River Kwai, The ",4.13846153846154
IMAX,58559,"Dark Knight, The ",4.23553719008264
IMAX,88125,"Harry Potter and the Deathly Hallows: Part 2 ",4.22058823529412
IMAX,76093,"How to Train Your Dragon ",4.15151515151515
IMAX,109487,"Interstellar ",4.15116279069767
IMAX,78499,"Toy Story 3 ",4.07142857142857
IMAX,69844,"Harry Potter and the Half-Blood Prince ",4.06896551724138
IMAX,79132,"Inception ",4.04954954954955
IMAX,44191,"V for Vendetta ",4.01369863013699
IMAX,89745,"Avengers, The ",4.01086956521739
IMAX,111759,"Edge of Tomorrow ",3.94230769230769
Sci-Fi,1196,"Star Wars: Episode V - The Empire Strikes Back ",4.23290598290598
Sci-Fi,260,"Star Wars: Episode IV - A New Hope ",4.22164948453608
Sci-Fi,2571,"Matrix, The ",4.18339768339768
Sci-Fi,109487,"Interstellar ",4.15116279069767
Sci-Fi,741,"Ghost in the Shell (K么kaku kid么tai) ",4.14814814814815
Sci-Fi,68237,"Moon ",4.125
Sci-Fi,48780,"Prestige, The ",4.125
Sci-Fi,7361,"Eternal Sunshine of the Spotless Mind ",4.12264150943396
Sci-Fi,2232,"Cube ",4.11904761904762
Sci-Fi,968,"Night of the Living Dead ",4.11111111111111
Animation,5971,"My Neighbor Totoro (Tonari no Totoro) ",4.23076923076923
Animation,31658,"Howl's Moving Castle (Hauru no ugoku shiro) ",4.2037037037037
Animation,745,"Wallace & Gromit: A Close Shave ",4.19354838709677
Animation,76093,"How to Train Your Dragon ",4.15151515151515
Animation,741,"Ghost in the Shell (K么kaku kid么tai) ",4.14814814814815
Animation,5618,"Spirited Away (Sen to Chihiro no kamikakushi) ",4.13492063492064
Animation,3000,"Princess Mononoke (Mononoke-hime) ",4.13157894736842
Animation,115617,"Big Hero 6 ",4.09523809523809
Animation,1148,"Wallace & Gromit: The Wrong Trousers ",4.09333333333333
Animation,1223,"Grand Day Out with Wallace and Gromit, A ",4.08974358974359
Thriller,50,"Usual Suspects, The ",4.37064676616915
Thriller,1252,"Chinatown ",4.33552631578947
Thriller,904,"Rear Window ",4.31521739130435
Thriller,6016,"City of God (Cidade de Deus) ",4.29710144927536
Thriller,908,"North by Northwest ",4.27011494252874
Thriller,1260,"M ",4.26190476190476
Thriller,2186,"Strangers on a Train ",4.26086956521739
Thriller,608,"Fargo ",4.25669642857143
Thriller,296,"Pulp Fiction ",4.25617283950617
Thriller,2917,"Body Heat ",4.25
Romance,969,"African Queen, The ",4.42
Romance,905,"It Happened One Night ",4.38
Romance,3462,"Modern Times ",4.359375
Romance,898,"Philadelphia Story, The ",4.35135135135135
Romance,922,"Sunset Blvd. (a.k.a. Sunset Boulevard) ",4.29487179487179
Romance,908,"North by Northwest ",4.27011494252874
Romance,2858,"American Beauty ",4.23636363636364
Romance,912,"Casablanca ",4.23504273504274
Romance,903,"Vertigo ",4.22463768115942
Romance,951,"His Girl Friday ",4.21153846153846
Mystery,913,"Maltese Falcon, The ",4.38709677419355
Mystery,50,"Usual Suspects, The ",4.37064676616915
Mystery,1252,"Chinatown ",4.33552631578947
Mystery,904,"Rear Window ",4.31521739130435
Mystery,3730,"Conversation, The ",4.30434782608696
Mystery,908,"North by Northwest ",4.27011494252874
Mystery,1212,"Third Man, The ",4.25
Mystery,2467,"Name of the Rose, The (Name der Rose, Der) ",4.23913043478261
Mystery,4226,"Memento ",4.22727272727273
Mystery,903,"Vertigo ",4.22463768115942
Action,7502,"Band of Brothers ",4.38636363636364
Action,1254,"Treasure of the Sierra Madre, The ",4.3
Action,6016,"City of God (Cidade de Deus) ",4.29710144927536
Action,2019,"Seven Samurai (Shichinin no samurai) ",4.27777777777778
Action,908,"North by Northwest ",4.27011494252874
Action,58559,"Dark Knight, The ",4.23553719008264
Action,1196,"Star Wars: Episode V - The Empire Strikes Back ",4.23290598290598
Action,260,"Star Wars: Episode IV - A New Hope ",4.22164948453608
Action,88125,"Harry Potter and the Deathly Hallows: Part 2 ",4.22058823529412
Action,1197,"Princess Bride, The ",4.20858895705521
Western,1254,"Treasure of the Sierra Madre, The ",4.3
Western,1304,"Butch Cassidy and the Sundance Kid ",4.17333333333333
Western,56782,"There Will Be Blood ",4.15384615384615
Western,1283,"High Noon ",4.11904761904762
Western,800,"Lone Star ",4.07142857142857
Western,99114,"Django Unchained ",3.97727272727273
Western,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) ",3.93859649122807
Western,3671,"Blazing Saddles ",3.93548387096774
Western,1266,"Unforgiven ",3.8859649122807
Western,82459,"True Grit ",3.84090909090909
Film-Noir,913,"Maltese Falcon, The ",4.38709677419355
Film-Noir,1252,"Chinatown ",4.33552631578947
Film-Noir,922,"Sunset Blvd. (a.k.a. Sunset Boulevard) ",4.29487179487179
Film-Noir,3683,"Blood Simple ",4.29166666666667
Film-Noir,1260,"M ",4.26190476190476
Film-Noir,2186,"Strangers on a Train ",4.26086956521739
Film-Noir,1212,"Third Man, The ",4.25
Film-Noir,3435,"Double Indemnity ",4.15625
Film-Noir,1617,"L.A. Confidential ",4.12
Film-Noir,930,"Notorious ",4.11904761904762
Documentary,2064,"Roger & Me ",4.39285714285714
Documentary,162,"Crumb ",4.13636363636364
Documentary,246,"Hoop Dreams ",4.04098360655738
Documentary,5669,"Bowling for Columbine ",3.91379310344828
Documentary,8622,"Fahrenheit 9/11 ",3.56521739130435
Documentary,8464,"Super Size Me ",3.53333333333333
Musical,899,"Singin' in the Rain ",4.1953125
Musical,1256,"Duck Soup ",4.13235294117647
Musical,2303,"Nashville ",4.02380952380952
Musical,945,"Top Hat ",4
Musical,1947,"West Side Story ",3.98888888888889
Musical,79702,"Scott Pilgrim vs. the World ",3.96153846153846
Musical,919,"Wizard of Oz, The ",3.95726495726496
Musical,900,"American in Paris, An ",3.95454545454545
Musical,1035,"Sound of Music, The ",3.94375
Musical,3060,"Commitments, The ",3.92857142857143
Fantasy,5971,"My Neighbor Totoro (Tonari no Totoro) ",4.23076923076923
Fantasy,1136,"Monty Python and the Holy Grail ",4.22413793103448
Fantasy,88125,"Harry Potter and the Deathly Hallows: Part 2 ",4.22058823529412
Fantasy,1197,"Princess Bride, The ",4.20858895705521
Fantasy,31658,"Howl's Moving Castle (Hauru no ugoku shiro) ",4.2037037037037
Fantasy,4993,"Lord of the Rings: The Fellowship of the Ring, The ",4.1825
Fantasy,953,"It's a Wonderful Life ",4.15277777777778
Fantasy,76093,"How to Train Your Dragon ",4.15151515151515
Fantasy,5618,"Spirited Away (Sen to Chihiro no kamikakushi) ",4.13492063492064
Fantasy,3000,"Princess Mononoke (Mononoke-hime) ",4.13157894736842
